date,open,high,low,close,volume,amount,turnover_pct,chg_pct
2021-04-14,2.48800236,2.48800236,2.45130616,2.4586454,169921172,570667959.48,0.0578,-1.1799
2021-04-15,2.45130616,2.46598464,2.44396692,2.4586454,129151123,431303914.19,0.0439,0.0
2021-04-16,2.4586454,2.46598464,2.45130616,2.4586454,86774400,290948498.59,0.0295,0.0
2021-04-19,2.4586454,2.47332388,2.45130616,2.4586454,157188622,526956224.65,0.0535,0.0
2021-04-20,2.4586454,2.4586454,2.44396692,2.44396692,160963782,537071339.06,0.0547,-0.597
2021-04-21,2.44396692,2.45130616,2.43662768,2.44396692,111339053,370964366.74,0.0379,0.0
2021-04-22,2.45130616,2.45130616,2.41460996,2.4219492,192221877,635994445.92,0.0654,-0.9009
2021-04-23,2.4219492,2.42928844,2.39259224,2.39259224,200712826,657527612.04,0.0683,-1.2121
2021-04-26,2.39993148,2.40727072,2.37791376,2.37791376,183402970,596824727.16,0.0624,-0.6135
2021-04-27,2.37791376,2.385253,2.36323528,2.37057452,135003064,436020180.93,0.0459,-0.3086
2021-04-28,2.37791376,2.37791376,2.35589604,2.36323528,159644455,513947762.1,0.0543,-0.3096
2021-04-29,2.36323528,2.37791376,2.35589604,2.37057452,285228224,920097885.89,0.097,0.3106
2021-04-30,2.37057452,2.37791376,2.34121756,2.3485568,260285200,834869084.96,0.0885,-0.9288
2021-05-06,2.3485568,2.36323528,2.3485568,2.35589604,152610095,490538702.22,0.0519,0.3125
2021-05-07,2.35589604,2.39259224,2.35589604,2.385253,220665130,713876484.2,0.075,1.2461
2021-05-10,2.385253,2.385253,2.36323528,2.37791376,150554246,487477193.74,0.0512,-0.3077
2021-05-11,2.37791376,2.39993148,2.37057452,2.39259224,161816273,526391641.25,0.055,0.6173
2021-05-12,2.385253,2.40727072,2.37791376,2.39993148,131970748,430882766.79,0.0449,0.3067
2021-05-13,2.39259224,2.39993148,2.385253,2.39993148,105838097,344811777.12,0.036,0.0
2021-05-14,2.39993148,2.41460996,2.39259224,2.41460996,141880300,464528202.51,0.0482,0.6116
2021-05-17,2.40727072,2.41460996,2.39259224,2.39993148,151239919,495123572.45,0.0514,-0.6079
2021-05-18,2.39993148,2.39993148,2.37791376,2.385253,170160941,552730939.84,0.0579,-0.6116
2021-05-19,2.385253,2.385253,2.37057452,2.37791376,155371942,503004285.66,0.0528,-0.3077
2021-05-20,2.37791376,2.39259224,2.37057452,2.385253,159066900,516593162.0,0.0541,0.3086
2021-05-21,2.385253,2.39259224,2.37057452,2.37791376,117533798,381308663.54,0.04,-0.3077
2021-05-24,2.37791376,2.385253,2.37057452,2.37791376,93092807,301950238.68,0.0317,0.0
2021-05-25,2.385253,2.40727072,2.37791376,2.39993148,382064240,1246905946.41,0.1299,0.9259
2021-05-26,2.39993148,2.41460996,2.39259224,2.40727072,236646078,774875777.94,0.0805,0.3058
2021-05-27,2.40727072,2.41460996,2.39993148,2.39993148,172984660,566782068.54,0.0588,-0.3049
2021-05-28,2.40727072,2.41460996,2.39259224,2.40727072,209558119,686023459.76,0.0713,0.3058
