date,open,high,low,close,volume,amount,turnover_pct,chg_pct,ma5,ma20,ema12,ema26,diff,dea,macd,rsi14,bb_upper,bb_mid,bb_lower,bb_width
2020-03-20,9.9773274,9.9773274,9.3045474,9.4660146,4495191,191391599.13,2.2079,-2.5173,9.8136176,10.4336965,10.052034888829407,9.489037130341579,0.563,0.8861,-0.6461,50.51,11.5549,10.4337,9.3125,0.2149
2020-03-23,9.2350268,9.564689,8.723714,8.8380866,4715075,192395814.66,2.3159,-6.6335,9.564689,10.38278948,9.865273613624883,9.4408185725385,0.4245,0.7937,-0.7386,44.88,11.6825,10.3828,9.0831,0.2504
2020-03-24,9.183447,9.340429,8.5577616,8.903122,4660915,186204514.44,2.2893,0.7359,9.315760399999998,10.28579703,9.717250288451822,9.400989196794908,0.3163,0.6982,-0.764,45.56,11.7166,10.2858,8.855,0.2782
2020-03-25,9.1924174,9.7934342,9.138595,9.7934342,5587187,240663122.91,2.7443,10.0,9.34222308,10.23645983,9.728970890228464,9.430059197032323,0.2989,0.6184,-0.6389,53.91,11.6637,10.2365,8.8092,0.2789
2020-03-26,9.901079,10.0603036,9.2238138,9.3718254,6775520,290060834.67,3.328,-4.305,9.27449656,10.165705800000001,9.674025430193314,9.425745582437337,0.2483,0.5444,-0.5922,50.0,11.6169,10.1657,8.7146,0.2855
2020-03-27,9.5108666,9.6386948,8.9704,8.9704,3727754,152093122.39,1.831,-4.2833,9.17537364,10.128815030000002,9.565775364009728,9.39201628003457,0.1738,0.4702,-0.593,46.53,11.6599,10.1288,8.5977,0.3023
2020-03-30,8.7506252,8.8717256,8.07336,8.0800878,8586981,311815253.74,4.2177,-9.925,9.02377388,10.02868294,9.337208046469769,9.294836392624601,0.0424,0.3847,-0.6846,39.93,11.8016,10.0287,8.2558,0.3536
2020-03-31,8.230342,8.85827,8.207916,8.5914006,6597865,253296916.19,3.2407,6.3281,8.961429599999999,9.903657990000001,9.222468439320574,9.242730037615372,-0.0203,0.3037,-0.6479,44.78,11.7114,9.9037,8.096,0.3651
2020-04-01,8.701288,8.8156606,8.3783536,8.398537,4765641,181811894.6,2.3408,-2.2448,8.68245016,9.79298568,9.095709756348178,9.180197220014234,-0.0845,0.226,-0.6211,43.36,11.6828,9.793,7.9031,0.386
2020-04-02,8.5689746,9.08253,8.342472,8.947974,6206405,240747051.12,3.0484,6.5421,8.59767988,9.70204825,9.072981178448458,9.16299550001318,-0.09,0.1628,-0.5057,48.38,11.5706,9.702,7.8335,0.3852
2020-04-03,9.037678,9.048891,8.5286078,8.5936432,4492892,175092414.24,2.2068,-3.9599,8.522328519999999,9.59036677,8.999236874071773,9.120821255567758,-0.1216,0.106,-0.4551,45.57,11.4435,9.5904,7.7372,0.3865
2020-04-07,8.8336014,9.0466484,8.7775364,8.9233054,4157246,165537171.92,2.0419,3.8361,8.69097204,9.49438349,8.987555108829962,9.10619045145163,-0.1186,0.061,-0.3593,48.57,11.2755,9.4944,7.7132,0.3752
2020-04-08,8.7977198,9.1475654,8.768566,8.85827,3366000,133819052.0,1.6533,-0.7288,8.744345919999999,9.35758489,8.967665092086891,9.087825973566325,-0.1202,0.0248,-0.2899,48.0,10.8731,9.3576,7.8421,0.3239
2020-04-09,8.9860982,9.0802874,8.7977198,9.048891,3216175,128721262.99,1.5797,2.1519,8.87441672,9.25947114,8.980161385611986,9.084941901450302,-0.1048,-0.0011,-0.2073,49.83,10.5749,9.2595,7.944,0.2841
2020-04-10,8.9434888,9.048891,8.40975,8.6183118,3518187,135967314.59,1.728,-4.7584,8.808484279999998,9.17806476,8.924492218594757,9.05037670875028,-0.1259,-0.0261,-0.1996,45.91,10.4395,9.1781,7.9166,0.2749
2020-04-13,8.555519,8.6183118,8.2213716,8.4052648,2331028,87501733.54,1.1449,-2.472,8.770808599999999,9.070532089999999,8.844611077272488,9.002590641435443,-0.158,-0.0525,-0.211,44.06,10.204,9.0705,7.937,0.2499
2020-04-14,8.5241226,8.790992,8.432176,8.7506252,2641834,101954236.88,1.2976,4.1089,8.73627256,9.003926869999999,8.830151711538258,8.983926534662448,-0.1538,-0.0727,-0.1621,47.73,10.0444,9.0039,7.9634,0.2311
2020-04-15,8.9636722,9.2215712,8.6384952,8.667649,4738505,187526537.06,2.3274,-0.9482,8.698148360000001,8.92992107,8.805151294378526,8.960498569131897,-0.1553,-0.0892,-0.1322,46.94,9.8364,8.9299,8.0235,0.203
2020-04-16,8.465815,8.7192288,8.40975,8.5734598,3049253,116212768.14,1.4977,-1.0867,8.60306212,8.875538019999999,8.769506449089521,8.931829030677683,-0.1623,-0.1039,-0.1169,46.0,9.7289,8.8755,8.0221,0.1923
2020-04-17,8.6317674,9.430133,8.5375782,9.430133,7976763,325704836.77,3.918,9.9922,8.765426360000001,8.86152177,8.871141303075749,8.96874043581267,-0.0976,-0.1026,0.01,54.85,9.6675,8.8615,8.0555,0.1819
2020-04-20,9.7261562,10.3742676,9.2215712,10.3294156,9793769,424737088.96,6.4326,9.5363,9.15025652,8.90469182,9.095491194910249,9.069531188715434,0.026,-0.0769,0.2057,61.91,9.9047,8.9047,7.9047,0.2246
2020-04-21,9.9818126,10.42809,9.665606,9.732884,8476484,376050234.44,4.1634,-5.7751,9.34670828,8.94943169,9.193551626462519,9.118668433995772,0.0749,-0.0465,0.2428,55.69,10.0116,8.9494,7.8872,0.2374
2020-04-22,9.5220796,9.7306414,9.3538846,9.6409374,4365671,185377345.21,2.1443,-0.9447,9.54136596,8.98632246,9.262380207006746,9.15735502407016,0.105,-0.0162,0.2425,54.78,10.09,8.9863,7.8827,0.2456
2020-04-23,9.6611208,9.6633634,9.3000622,9.3090326,3750284,157376527.59,1.842,-3.4427,9.68848052,8.962102380000001,9.269557498236479,9.168590400064963,0.101,0.0072,0.1875,51.49,10.0139,8.9621,7.9103,0.2347
2020-04-24,9.2103582,9.486198,9.1184116,9.1565358,2459900,101665996.25,1.2082,-1.6382,9.633761080000001,8.9513379,9.252169544661635,9.167697466726818,0.0845,0.0227,0.1236,50.01,9.9905,8.9513,7.9122,0.2322
2020-04-27,9.1677488,9.4839554,8.9726426,9.396494,2617888,107636748.94,1.2858,2.6206,9.447176760000001,8.972642599999999,9.274373307021385,9.184645358080386,0.0897,0.0361,0.1073,52.34,10.0298,8.9726,7.9155,0.2356
2020-04-28,9.5848724,9.75531,9.239512,9.5288074,4896190,209730054.22,3.2158,1.4081,9.406361440000001,9.04507858,9.31351701363348,9.210138842667025,0.1034,0.0495,0.1077,53.62,10.0446,9.0451,8.0455,0.221
2020-04-29,9.407707,9.5265648,9.1184116,9.1475654,3070474,126997060.17,2.0167,-4.0009,9.307687040000001,9.072886819999999,9.287985996151406,9.205503772839837,0.0825,0.0561,0.0527,49.49,10.0511,9.0729,8.0947,0.2156
2020-04-30,9.1632636,9.75531,9.1632636,9.5781446,4872867,208185699.42,3.2005,4.707,9.36150944,9.131867199999999,9.332625781358882,9.233106797073923,0.0995,0.0648,0.0694,53.82,10.0822,9.1319,8.1815,0.2081
2020-05-06,9.620754,9.9593866,9.4682572,9.845014,3688809,161557324.47,2.4228,2.7862,9.49920508,9.1767192,9.4114547380729,9.278433256549928,0.133,0.0784,0.1091,56.31,10.1717,9.1767,8.1817,0.2169
2020-05-07,9.923505,10.3787528,9.598328,9.609541,4999281,221604753.94,3.2836,-2.3918,9.541814480000001,9.22751409,9.441929547600147,9.302959756064748,0.139,0.0906,0.0968,53.56,10.2018,9.2275,8.2533,0.2112
2020-05-08,9.7396118,10.54022,9.564689,10.31596,6372741,288512417.35,4.1857,7.3512,9.699245000000001,9.29714682,9.576395771046277,9.377996811171064,0.1984,0.1121,0.1726,59.9,10.3687,9.2971,8.2256,0.2305
2020-05-11,10.2688654,10.495368,9.8719252,9.9212624,5132408,231256824.81,3.371,-3.8261,9.8539844,9.35029644,9.629452175500697,9.418238706639874,0.2112,0.1319,0.1585,55.35,10.4349,9.3503,8.2657,0.232
2020-05-12,9.889866,10.0917,9.6499078,10.0917,2794215,123242968.28,1.8353,1.7179,9.95669548,9.40243689,9.700567225423667,9.468124728370254,0.2324,0.152,0.1608,56.87,10.5237,9.4024,8.2812,0.2385
2020-05-13,9.9033216,10.001996,9.75531,9.8876234,2563224,112762421.52,1.6835,-2.0222,9.96521736,9.46590247,9.729345098435411,9.499198704046531,0.2301,0.1677,0.125,54.48,10.5453,9.4659,8.3865,0.2281
2020-05-14,9.8584696,9.9750848,9.7597952,9.8629548,1971941,86701460.04,1.2952,-0.2495,10.015900120000001,9.53878697,9.749900437137654,9.526143600043085,0.2238,0.1789,0.0898,54.18,10.5137,9.5388,8.5639,0.2044
2020-05-15,9.8629548,9.9324754,9.64318,9.721671,2287394,99608356.24,1.5025,-1.4325,9.89704232,9.58733926,9.745557446808785,9.540627111151004,0.2049,0.1841,0.0417,52.42,10.4948,9.5873,8.6799,0.1893
2020-05-18,9.64318,9.6857894,8.8336014,8.9434888,5778513,235148155.88,3.7483,-8.0046,9.7014876,9.60113125,9.622162270376664,9.496394643658336,0.1258,0.1724,-0.0933,43.95,10.4593,9.6011,8.743,0.1788
2020-05-19,8.947974,9.161021,8.8492996,8.9793704,3034254,121713318.57,1.9682,0.4012,9.47902168,9.62142678,9.52327121339564,9.458096551535496,0.0652,0.151,-0.1716,44.39,10.3966,9.6214,8.8462,0.1611
2020-05-20,8.9704,9.08253,8.6743768,8.790992,2296558,90907835.21,1.4897,-2.0979,9.259695400000002,9.589469730000001,9.410612872873234,9.408681399569904,0.0019,0.1212,-0.2385,42.48,10.4424,9.5895,8.7366,0.1779
2020-05-21,8.85827,8.85827,8.5398208,8.555519,2344525,90532903.51,1.5208,-2.6786,8.99820824,9.5007749,9.279059969354275,9.345484184786947,-0.0664,0.0836,-0.3001,40.15,10.3954,9.5008,8.6062,0.1883
2020-05-22,8.5398208,8.7416548,8.286407,8.488241,2248888,85108522.24,1.4601,-0.7864,8.75152224,9.43854275,9.157395512530542,9.281984689617545,-0.1246,0.042,-0.3332,39.48,10.428,9.4385,8.4491,0.2097
2020-05-25,8.3828388,8.4187204,8.230342,8.3671406,1326758,49263870.01,0.8614,-1.4267,8.6362526,9.37485291,9.035817833679689,9.214218460756985,-0.1784,-0.0021,-0.3526,38.25,10.4631,9.3749,8.2866,0.2322
2020-05-26,8.499454,8.835844,8.432176,8.8336014,2698325,104881713.55,1.7519,5.5749,8.6070988,9.35108135,9.004707613113583,9.186024604404617,-0.1813,-0.0379,-0.2868,45.32,10.4645,9.3511,8.2377,0.2381
2020-05-27,8.74614,8.835844,8.6160692,8.7865068,1560524,60670803.86,1.0132,-0.5331,8.60620176,9.3325799,8.971138257249955,9.156430692967238,-0.1853,-0.0674,-0.2358,44.76,10.4703,9.3326,8.1948,0.2438
2020-05-28,8.790992,8.8291162,8.4344186,8.6048562,1715800,65893558.0,1.114,-2.0674,8.6160692,9.292998010000002,8.914787171519192,9.115573323117813,-0.2008,-0.0941,-0.2134,42.59,10.4734,9.293,8.1126,0.254
2020-05-29,8.4931874,8.7638866,8.4931874,8.6623744,2761183,70648918.56,1.1951,0.6685,8.650895879999998,9.24967636,8.875954437439317,9.082003032516493,-0.206,-0.1165,-0.1792,43.53,10.4556,9.2497,8.0438,0.2607
2020-06-01,8.66575814,9.1699354,8.66575814,9.16655166,4708515,125211235.16,2.038,5.8203,8.810778092,9.250625673,8.920661702448653,9.088265893811569,-0.1676,-0.1267,-0.0818,51.05,10.4562,9.2506,8.045,0.2607
2020-06-02,9.13948174,9.9312769,9.02105084,9.5083094,5239509,146767869.44,2.2678,3.7283,8.945719692,9.247133913,9.011069040533476,9.119380227603305,-0.1083,-0.123,0.0294,55.39,10.4493,9.2471,8.0449,0.26
2020-06-03,9.51846062,9.64027526,9.34927362,9.44740208,3831533,107333482.44,1.6584,-0.6406,9.077898747999999,9.227253317,9.078197200451402,9.143678142595652,-0.0655,-0.1115,0.0921,54.47,10.4021,9.2273,8.0524,0.2546
2020-06-04,9.42709964,9.51169314,8.95337604,8.98044596,4355589,116984419.19,1.8852,-4.9427,9.1530167,9.195798565,9.063158548074263,9.13158686981079,-0.0684,-0.1029,0.0689,47.85,10.3617,9.1958,8.0299,0.2536
2020-06-05,8.8992362,9.08872564,8.69959554,8.95337604,2669171,70689017.36,1.1553,-0.3014,9.211217027999998,9.127669367,9.046268931447454,9.118386067602582,-0.0721,-0.0967,0.0492,47.49,10.1772,9.1277,8.0782,0.23
2020-06-08,8.97367848,9.6605777,8.97367848,9.31205248,4614454,128272896.11,1.9541,4.0061,9.240317192000001,9.097208871000001,9.087158708147847,9.132731727780168,-0.0456,-0.0865,0.0819,52.58,10.0865,9.0972,8.108,0.2175
2020-06-09,9.30866874,9.40341346,9.1191793,9.2206915,3229908,88009838.92,1.3678,-0.9811,9.182793612000001,9.053658446,9.10770221458664,9.139247266463117,-0.0315,-0.0755,0.0879,51.22,9.9347,9.0537,8.1726,0.1946
2020-06-10,9.22745898,9.27821508,8.97029474,9.1022606,2327303,62331739.8,0.9855,-1.2844,9.113765316,9.014390306,9.106865043111773,9.136507513391775,-0.0296,-0.0663,0.0734,49.43,9.809,9.0144,8.2197,0.1763
2020-06-11,9.03796954,9.2037728,9.01089962,9.1022606,2219100,59707682.4,0.9397,0.0,9.138128243999999,8.976355596,9.106156667248424,9.133970704992384,-0.0278,-0.0586,0.0616,49.43,9.6715,8.9764,8.2812,0.1549
2020-06-12,8.80787522,9.1868541,8.628537,9.1022606,2080894,55338339.36,0.8812,0.0,9.167905156,8.945385076,9.105557272287127,9.131621808326281,-0.0261,-0.0521,0.0521,49.43,9.5549,8.9454,8.3359,0.1363
2020-06-15,9.1191793,9.35942484,9.00413214,9.0176671,3171498,85681743.06,1.343,-0.9294,9.109028079999998,8.949093991,9.092035707319877,9.123180718820631,-0.0311,-0.0479,0.0336,47.94,9.5594,8.9491,8.3388,0.1364
2020-06-16,9.13271426,9.58613542,9.08195816,9.3560411,5940288,164252921.99,2.5155,3.7523,9.136097999999999,8.967927526,9.132651921578358,9.14042963594503,-0.0078,-0.0399,0.0642,53.93,9.6035,8.9679,8.3323,0.1418
2020-06-17,9.474472,9.48123948,9.24437768,9.4575533,3456276,95585829.4,1.4636,1.085,9.20715654,9.001255591,9.182636749027841,9.163920277726879,0.0187,-0.0282,0.0938,55.58,9.6655,9.0013,8.337,0.1476
2020-06-18,9.44401834,10.26288342,9.3391224,10.05309154,9595778,279113464.57,4.0635,6.297,9.397322728,9.076134218000002,9.316552870715865,9.229784815673037,0.0868,-0.0052,0.1839,63.79,9.8509,9.0761,8.3013,0.1707
2020-06-19,10.00910292,10.4557566,9.96173056,10.15460374,8235255,248364817.18,3.4874,1.0098,9.607791356,9.159452355,9.445483773682655,9.298289921178737,0.1472,0.0253,0.2438,64.97,10.0174,9.1595,8.3015,0.1873
2020-06-22,10.21212732,10.2527322,9.9481956,10.05309154,4993379,148235488.88,2.1145,-0.9997,9.814876244,9.243749902000001,9.538961891577632,9.354201152202535,0.1848,0.0572,0.2552,62.76,10.105,9.2437,8.3825,0.1863
2020-06-23,10.0158704,10.3542444,9.7451712,10.13091756,4553651,135211031.71,1.9283,0.7742,9.969851536000002,9.308615710000002,9.630031994411842,9.411735700928274,0.2183,0.0894,0.2578,63.78,10.2299,9.3086,8.3874,0.1979
2020-06-24,10.13091756,10.320407,9.9651143,9.97864926,2612043,77434054.89,1.1061,-1.503,10.074070728,9.368222833,9.683665419886944,9.45372929789655,0.2299,0.1175,0.2248,60.3,10.3008,9.3682,8.4356,0.1991
2020-06-29,9.91097446,10.0835452,9.64027526,9.7113338,3401898,98615148.05,1.4406,-2.6789,10.00571918,9.423546713,9.68792209375049,9.472811112867175,0.2151,0.137,0.1562,54.66,10.2979,9.4235,8.5492,0.1856
2020-06-30,9.83653218,10.14106878,9.83653218,10.02263788,4492474,132789356.56,1.9024,3.2056,9.979326008000001,9.491559887,9.73941683009657,9.51353902154368,0.2259,0.1548,0.1422,59.42,10.3294,9.4916,8.6537,0.1765
2020-07-01,10.1850574,10.2188948,9.643659,9.71810128,4759797,138020434.03,2.0156,-3.0385,9.912327956,9.519137367999999,9.736137514697099,9.528691781429334,0.2074,0.1653,0.0842,53.5,10.3486,9.5191,8.6897,0.1743
2020-07-02,9.67411266,9.90082324,9.4406346,9.62335656,6934319,197496336.9,2.9365,-0.9749,9.810815756,9.524889726000001,9.718786598589853,9.535703987249384,0.1831,0.1689,0.0284,51.78,10.3556,9.5249,8.6942,0.1744
