date,股票代码,open,close,high,low,volume,amount,amplitude_pct,chg_pct,chg_amt,turnover_pct,ma5,ma20,ema12,ema26,diff,dea,macd,rsi14,bb_upper,bb_mid,bb_lower,bb_width
2024-05-15,002837,18.36,18.18,18.57,18.09,49837,156540563.55,2.63,-0.38,-0.07,1.03,18.492,18.378,18.561714983996634,18.294757951403223,0.267,0.3752,-0.2165,49.04,20.2175,18.378,16.5385,0.2002
2024-05-16,002837,18.37,18.44,18.72,18.22,97833,310793558.99,2.75,1.43,0.26,2.02,18.410000000000004,18.4525,18.542989601843306,18.30551662166965,0.2375,0.3477,-0.2204,51.69,20.1714,18.4525,16.7336,0.1863
2024-05-17,002837,18.37,18.8,18.91,18.18,96130,307387010.83,3.96,1.95,0.36,1.95,18.488,18.587,18.58252966309818,18.34214502006449,0.2404,0.3262,-0.1716,55.17,19.932,18.587,17.242,0.1447
2024-05-20,002837,18.88,18.96,19.02,18.28,92499,296900975.61,3.94,0.85,0.16,1.87,18.526,18.674500000000002,18.64060202262154,18.387912055615267,0.2527,0.3115,-0.1176,56.66,19.869,18.6745,17.48,0.1279
2024-05-21,002837,18.96,18.66,19.17,18.4,83819,269113670.91,4.06,-1.58,-0.3,1.7,18.608,18.7215,18.64358632683361,18.408066718162285,0.2355,0.2963,-0.1216,53.09,19.8332,18.7215,17.6098,0.1188
2024-05-22,002837,18.66,19.05,19.42,18.6,110523,361341158.21,4.39,2.09,0.39,2.24,18.782000000000004,18.7845,18.70611150732075,18.455617331631746,0.2505,0.2871,-0.0733,56.89,19.818,18.7845,17.751,0.11
2024-05-23,002837,19.25,18.43,19.37,18.38,100253,319830227.42,5.2,-3.25,-0.62,2.03,18.78,18.8275,18.663632813886785,18.453719751510878,0.2099,0.2717,-0.1236,49.96,19.7168,18.8275,17.9382,0.0945
2024-05-24,002837,18.38,18.33,18.91,18.09,94951,299605426.15,4.45,-0.54,-0.1,1.92,18.686,18.826500000000003,18.612304688673433,18.444555325473033,0.1677,0.2509,-0.1663,48.93,19.718,18.8265,17.935,0.0947
2024-05-27,002837,18.29,18.95,19.0,18.19,128491,314683608.4,4.42,3.38,0.62,2.0,18.683999999999997,18.846,18.664257813492902,18.481995671734293,0.1823,0.2372,-0.1098,55.13,19.7303,18.846,17.9617,0.0938
2024-05-28,002837,18.69,18.45,18.85,18.35,92913,226114050.46,2.64,-2.64,-0.5,1.45,18.642,18.822499999999998,18.63129507295553,18.479625621976197,0.1517,0.2201,-0.1368,49.87,19.7226,18.8225,17.9224,0.0956
2024-05-29,002837,18.56,18.61,18.88,18.48,77824,190343448.61,2.17,0.87,0.16,1.21,18.554,18.7665,18.62801890788545,18.489282983311295,0.1387,0.2038,-0.1301,51.47,19.5677,18.7665,17.9653,0.0854
2024-05-30,002837,18.51,18.41,18.65,18.32,49790,120662327.41,1.77,-1.07,-0.2,0.78,18.55,18.704,18.594477537441538,18.48341016973268,0.1111,0.1853,-0.1484,49.35,19.4054,18.704,18.0026,0.075
2024-05-31,002837,18.42,18.02,18.59,17.74,119228,283628978.78,4.62,-2.12,-0.39,1.86,18.488,18.628999999999998,18.50609637783515,18.449083490493223,0.057,0.1596,-0.2052,45.43,19.2847,18.629,17.9733,0.0704
2024-06-03,002837,17.92,18.32,18.73,17.92,98587,237328480.9,4.5,1.66,0.3,1.53,18.362000000000002,18.578,18.477466165860513,18.439521750456688,0.0379,0.1353,-0.1947,48.8,19.159,18.578,17.997,0.0625
2024-06-04,002837,18.3,18.66,18.69,18.22,79530,192566554.6,2.57,1.86,0.34,1.24,18.404,18.5605,18.505548294189666,18.45585347264508,0.0497,0.1182,-0.1369,52.39,19.1085,18.5605,18.0125,0.0591
2024-06-05,002837,18.65,18.15,18.67,18.15,74358,179255600.32,2.79,-2.73,-0.51,1.16,18.312,18.535,18.450848556622024,18.433197659856557,0.0177,0.0981,-0.1608,47.06,19.109,18.535,17.961,0.0619
2024-06-06,002837,18.12,18.0,18.49,17.82,70605,167911029.44,3.69,-0.83,-0.15,1.1,18.23,18.4925,18.381487240218636,18.401108944311627,-0.0196,0.0745,-0.1883,45.59,19.0922,18.4925,17.8928,0.0649
2024-06-07,002837,17.98,17.52,18.14,17.39,124547,287444308.64,4.17,-2.67,-0.48,1.94,18.13,18.448,18.248950741723462,18.33584161510336,-0.0869,0.0422,-0.2583,41.16,19.1825,18.448,17.7135,0.0796
2024-06-11,002837,17.46,17.82,17.89,17.26,76911,177927015.46,3.6,1.71,0.3,1.2,18.03,18.4005,18.18295831991985,18.2976311250957,-0.1147,0.0109,-0.2511,44.77,19.1677,18.4005,17.6333,0.0834
2024-06-12,002837,17.77,17.58,18.02,17.47,73711,170860091.29,3.09,-1.35,-0.24,1.15,17.814,18.367,18.090195501470642,18.244473263977504,-0.1543,-0.0222,-0.2642,42.52,19.2121,18.367,17.5219,0.092
2024-06-13,002837,17.58,18.08,18.41,17.47,116841,277090007.87,5.35,2.84,0.5,1.82,17.8,18.362000000000002,18.08862696278285,18.23229005923843,-0.1437,-0.0465,-0.1944,48.34,19.2126,18.362,17.5114,0.0926
